raceId,driverId,year,constructorId,grid,position,win,pole,pit_stop_count,pit_stop_binary
857,39,2011,164,22,17,0,0,2,0
857,67,2011,5,9,21,0,0,1,0
857,153,2011,5,10,8,0,0,2,0
857,155,2011,15,18,24,0,0,0,0
857,808,2011,4,11,11,0,0,2,0
857,811,2011,4,15,12,0,0,2,0
857,813,2011,3,14,22,0,0,0,0
857,814,2011,10,13,13,0,0,3,1
857,815,2011,15,17,10,0,0,2,0
857,816,2011,166,23,16,0,0,2,0
857,817,2011,164,21,18,0,0,3,1
858,1,2011,1,2,1,1,0,2,0
858,3,2011,131,7,6,0,0,2,0
858,4,2011,6,5,2,0,0,2,0
858,5,2011,205,18,17,0,0,2,0
858,10,2011,166,20,19,0,0,2,0
858,13,2011,6,6,5,0,0,2,0
858,15,2011,205,19,18,0,0,2,0
858,16,2011,10,9,8,0,0,2,0
858,17,2011,9,4,4,0,0,3,1
858,18,2011,1,3,3,0,0,2,0
858,20,2011,9,1,24,0,1,0,0
858,24,2011,164,23,20,0,0,1,0
858,30,2011,131,8,7,0,0,2,0
858,67,2011,5,13,22,0,0,0,0
858,153,2011,5,15,15,0,0,2,0
858,155,2011,15,16,10,0,0,2,0
858,808,2011,4,12,13,0,0,2,0
858,811,2011,4,14,16,0,0,3,1
858,813,2011,3,17,14,0,0,2,0
858,814,2011,10,10,9,0,0,1,0
858,815,2011,15,11,11,0,0,2,0
858,816,2011,166,22,23,0,0,0,0
858,817,2011,164,21,21,0,0,2,0
859,1,2011,1,4,22,0,0,3,1
859,3,2011,131,6,7,0,0,2,0
859,4,2011,6,5,4,0,0,3,1
859,5,2011,205,19,16,0,0,3,1
859,10,2011,166,24,24,0,0,1,0
859,13,2011,6,7,5,0,0,2,0
859,15,2011,205,20,18,0,0,2,0
859,16,2011,10,8,6,0,0,3,1
859,17,2011,9,2,1,1,0,3,1
859,18,2011,1,3,3,0,0,3,1
859,20,2011,9,1,2,0,1,3,1
859,22,2011,3,12,14,0,0,3,1
859,24,2011,164,21,21,0,0,2,0
859,30,2011,131,10,15,0,0,3,1
859,67,2011,5,14,12,0,0,2,0
859,153,2011,5,13,11,0,0,2,0
859,155,2011,15,16,9,0,0,2,0
859,808,2011,4,15,10,0,0,3,1
859,811,2011,4,9,17,0,0,4,1
859,813,2011,3,18,23,0,0,1,0
859,814,2011,10,11,8,0,0,2,0
859,815,2011,15,17,13,0,0,2,0
859,816,2011,166,23,19,0,0,2,0
859,817,2011,164,22,20,0,0,2,0
860,1,2012,1,1,3,0,1,2,0
860,3,2012,131,7,12,0,0,2,0
860,4,2012,6,12,5,0,0,2,0
860,5,2012,207,19,18,0,0,3,1
860,8,2012,208,18,7,0,0,2,0
860,10,2012,206,21,14,0,0,2,0
860,13,2012,6,16,17,0,0,3,1
860,17,2012,9,5,4,0,0,2,0
860,18,2012,1,2,1,1,0,2,0
860,20,2012,9,6,2,0,0,2,0
860,30,2012,131,4,20,0,0,0,0
860,37,2012,164,23,23,0,0,0,0
860,39,2012,164,24,24,0,0,0,0
860,154,2012,208,3,21,0,0,0,0
860,155,2012,15,13,6,0,0,2,0
860,807,2012,10,9,22,0,0,0,0
860,808,2012,207,20,19,0,0,1,0
860,811,2012,3,14,16,0,0,3,1
860,813,2012,3,8,13,0,0,2,0
860,814,2012,10,15,10,0,0,2,0
860,815,2012,15,17,8,0,0,1,0
860,817,2012,5,10,9,0,0,3,1
860,818,2012,5,11,11,0,0,2,0
860,819,2012,206,22,15,0,0,3,1
861,1,2012,1,1,3,0,1,3,1
861,3,2012,131,8,13,0,0,4,1
861,4,2012,6,9,1,1,0,3,1
861,5,2012,207,19,18,0,0,4,1
861,8,2012,208,5,5,0,0,3,1
861,10,2012,206,21,17,0,0,3,1
861,13,2012,6,12,15,0,0,4,1
861,17,2012,9,4,4,0,0,3,1
861,18,2012,1,2,14,0,0,5,1
861,20,2012,9,6,11,0,0,4,1
861,30,2012,131,3,10,0,0,3,1
861,37,2012,164,23,22,0,0,3,1
861,39,2012,164,24,21,0,0,2,0
861,154,2012,208,7,24,0,0,0,0
861,155,2012,15,17,23,0,0,3,1
861,807,2012,10,16,9,0,0,3,1
861,808,2012,207,20,16,0,0,3,1
861,811,2012,3,13,6,0,0,4,1
861,813,2012,3,11,19,0,0,4,1
861,814,2012,10,14,7,0,0,3,1
861,815,2012,15,10,2,0,0,3,1
861,817,2012,5,15,12,0,0,4,1
861,818,2012,5,18,8,0,0,2,0
861,819,2012,206,22,20,0,0,3,1
862,1,2012,1,2,3,0,0,3,1
862,3,2012,131,1,1,1,1,2,0
862,4,2012,6,9,9,0,0,3,1
862,5,2012,207,19,23,0,0,3,1
862,8,2012,208,5,14,0,0,2,0
862,10,2012,206,21,19,0,0,2,0
862,13,2012,6,12,13,0,0,2,0
862,17,2012,9,7,4,0,0,3,1
862,18,2012,1,6,2,0,0,3,1
862,20,2012,9,11,5,0,0,2,0
862,30,2012,131,3,24,0,0,1,0
862,37,2012,164,23,21,0,0,2,0
862,39,2012,164,24,22,0,0,2,0
862,154,2012,208,10,6,0,0,2,0
862,155,2012,15,4,10,0,0,3,1
862,807,2012,10,16,15,0,0,2,0
862,808,2012,207,20,18,0,0,2,0
862,811,2012,3,14,7,0,0,2,0
862,813,2012,3,13,8,0,0,2,0
862,814,2012,10,15,12,0,0,2,0
862,815,2012,15,8,11,0,0,2,0
862,817,2012,5,17,17,0,0,2,0
862,818,2012,5,18,16,0,0,3,1
