raceId,driverId,grid,position,constructorId
70,29,21,16,8
70,33,22,15,14
77,2,1,2,3
77,8,2,11,1
77,17,3,20,3
77,15,4,8,7
77,31,5,7,1
77,4,6,1,4
77,22,7,3,6
77,23,8,19,7
77,21,9,6,4
77,30,10,5,6
77,13,11,14,15
77,14,12,4,9
77,18,13,10,16
77,24,14,9,9
77,35,15,13,15
77,11,16,12,16
77,33,17,15,17
77,40,18,18,18
77,39,19,16,17
77,27,20,17,18
78,18,1,13,16
78,30,2,2,6
78,4,3,17,4
78,21,4,18,4
78,31,5,20,1
78,11,6,15,16
78,8,7,1,1
78,35,8,9,15
78,15,9,12,7
78,23,10,6,7
78,13,11,4,15
78,14,12,7,9
78,2,13,14,3
78,17,14,5,3
78,27,15,11,18
78,32,16,8,9
78,39,17,19,17
78,33,18,10,17
78,40,19,16,18
78,22,20,3,6
79,15,1,7,7
79,8,2,8,1
79,18,3,9,16
79,21,4,10,4
79,30,5,1,6
79,4,6,11,4
79,22,7,2,6
79,11,8,12,16
79,17,9,13,3
79,13,10,14,15
79,31,11,15,1
79,35,12,16,15
79,41,13,17,7
79,32,14,18,9
79,2,15,19,3
79,14,16,20,9
79,33,17,3,17
79,27,18,5,18
79,39,19,4,17
79,40,20,6,18
80,4,1,1,4
80,15,2,5,7
80,8,3,2,1
80,30,4,3,6
80,11,5,11,16
80,22,6,9,6
80,21,7,6,4
80,18,8,4,16
80,31,9,16,1
80,13,10,19,15
80,35,11,8,15
80,23,12,7,7
80,17,13,12,3
80,2,14,14,3
80,14,15,10,9
80,32,16,20,9
80,39,17,15,17
80,40,18,18,18
80,33,19,13,17
80,27,20,17,18
81,4,1,2,4
81,8,2,3,1
81,18,3,5,16
81,31,4,1,1
81,15,5,9,7
81,22,6,7,6
81,21,7,4,4
81,11,8,16,16
81,23,9,8,7
81,30,10,6,6
81,35,11,14,15
81,17,12,11,3
81,14,13,13,9
81,2,14,12,3
81,32,15,15,9
81,13,16,10,15
81,39,17,20,17
81,27,18,18,18
81,40,19,19,18
81,33,20,17,17
82,8,1,20,1
82,18,2,3,16
82,4,3,1,4
82,21,4,4,4
82,30,5,5,6
82,17,6,19,3
82,2,7,11,3
82,11,8,12,16
82,15,9,14,7
82,32,10,9,9
82,14,11,7,9
82,23,12,6,7
82,13,13,8,15
82,35,14,15,15
82,22,15,10,6
82,27,16,13,18
82,38,17,18,18
82,33,18,17,17
82,31,19,2,1
82,39,20,16,17
83,30,1,2,6
83,31,2,17,1
83,15,3,4,7
83,8,4,1,1
83,23,5,3,7
83,4,6,11,4
83,22,7,10,6
83,18,8,5,16
83,21,9,9,4
83,11,10,8,16
